,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0,0.692,0.694,-10.092,0.0516,0.775,0.854,0.109,0.655,93.011,5Zj9P8pIPYCEqZ85wK59rt,186897
1,0.718,0.646,-10.701,0.0411,0.617,0.852,0.112,0.574,104.002,0tbcr3KETxeys0ZJIsLtGH,167578
2,0.732,0.558,-10.93,0.242,0.467,0.722,0.107,0.569,180.043,5AXk5wx9HWPlmaoPVdqNYu,149696
3,0.722,0.742,-8.969,0.0678,0.245,0.684,0.0968,0.902,112.977,0Q030tEl69lVahnXRTKm1i,121062
4,0.76,0.601,-8.42,0.0426,0.155,0.912,0.0975,0.437,121.982,2Mf4SRYDX5ZAUS0kvriFQp,192787
5,0.723,0.581,-10.469,0.0433,0.164,0.662,0.11,0.442,121.989,4u3qNrWDThsCqegYpkbTmG,161042
6,0.842,0.586,-8.823,0.0737,0.108,0.207,0.0862,0.668,122.001,4qBG4a2CpDuNIvyNAXgQJO,176557
7,0.805,0.598,-11.223,0.0999,0.00458,0.858,0.309,0.534,122.022,66hk3Tp7XUQvhrvKYVWzCI,158361
8,0.808,0.647,-10.746,0.0536,0.307,0.907,0.108,0.757,121.022,1Fn4Ekv3r9nzX8ByKfIJc1,144306
9,0.728,0.698,-8.222,0.0436,0.0282,0.902,0.181,0.45,122.001,498rqpwRlRqxvTjnE4ddUd,179016
10,0.746,0.809,-7.56,0.0505,0.0901,0.876,0.0902,0.817,121.971,5dDq6mW7kme1FdYxRnmVhV,222295
11,0.841,0.651,-9.068,0.0472,0.367,0.0459,0.102,0.206,109.984,2KC42furEHWLjO31oSDeV1,178909
12,0.719,0.697,-8.435,0.035,0.56,0.93,0.114,0.478,122.03,3fheVWzxSAUZl36rLCzrPv,159344
13,0.766,0.697,-8.968,0.0398,0.47,0.901,0.116,0.406,122.009,7gyLz2xj0Wh17F29Re9ESY,161311
14,0.787,0.473,-8.348,0.036,0.1,0.8,0.246,0.721,110.0,6oY25U5Z0ddjtoURx2UkTb,157349
15,0.67,0.687,-9.059,0.0432,0.369,0.864,0.101,0.687,122.017,4ywUP1jBA7BqF6BVC5wsQu,177049
16,0.795,0.794,-9.885,0.0487,0.11,0.812,0.0988,0.402,123.997,0pEaRPmTg55A3PzN032vc1,144567
17,0.807,0.558,-11.527,0.0492,0.254,0.873,0.106,0.591,122.0,5FuBCADXg8JDgzoids0kRH,177049
18,0.764,0.511,-10.328,0.0492,0.0425,0.842,0.125,0.114,122.062,2jtlFgDkALVAMjeCU8Utwr,176557
19,0.806,0.539,-11.953,0.062,0.0155,0.806,0.109,0.592,122.007,3swk3JPjAd6yE6943W7RjG,158852
20,0.775,0.689,-10.164,0.0738,0.096,0.551,0.357,0.736,99.006,5gDIEYgytaLhQsUFJqf8Sa,159475
21,0.821,0.549,-10.509,0.0801,0.0681,0.376,0.315,0.174,123.027,14mzqe1Zs6fTVQ5DwDFbNJ,174103
22,0.686,0.724,-11.699,0.0412,0.0959,0.914,0.098,0.592,122.029,2STq9dJPhnRsP2hz40CwRG,152247
23,0.809,0.56,-8.791,0.0677,0.00728,0.895,0.118,0.533,121.993,0WSAr1NIHhLSNA5MjXZHnf,174590
24,0.82,0.552,-9.499,0.0784,0.102,0.867,0.116,0.565,120.007,071TeXGEBk4ayerahC57pH,160700
25,0.661,0.627,-7.815,0.052,0.099,0.926,0.118,0.849,170.007,4my1BhAfo1myGhZLkHZyU0,123948
26,0.801,0.602,-9.67,0.094,0.015,0.882,0.261,0.927,124.987,3otbUSwZkDK5xHP8A22tXy,128685
27,0.775,0.606,-11.164,0.0669,0.57,0.764,0.102,0.737,118.993,19udjLZKTQqO2gkE9fcUQ2,147711
28,0.734,0.675,-10.746,0.0437,0.0464,0.638,0.066,0.328,120.994,5WezHAqZxwefif2UpVrcEz,161309
29,0.685,0.549,-7.643,0.0534,0.247,0.798,0.13,0.4,169.969,4ggvDz0jgHMek3zEehePS7,170118
30,0.763,0.686,-10.309,0.0523,0.00456,0.666,0.143,0.609,123.044,4mMUOExzNfXwyimArNGDne,142710
31,0.626,0.802,-9.484,0.0403,0.0063,0.905,0.126,0.587,121.996,7nL615MtM4DjZS2YYpcu3s,143656
32,0.708,0.621,-10.935,0.0389,0.19,0.886,0.0804,0.691,122.019,4EXV6FsOuibJhBCQA9hYVs,158592
33,0.68,0.551,-11.176,0.0428,0.102,0.843,0.104,0.606,123.034,6suAxo4U2oFor3ypOUQymq,141227
34,0.785,0.457,-9.811,0.0687,0.0228,0.897,0.104,0.686,122.014,7Mx1p1S7LEEWmMo2Weau1v,191803
35,0.762,0.559,-9.274,0.0467,0.00277,0.914,0.0967,0.379,121.988,5HbEEuipiBoKHEh1UET7xX,188852
36,0.674,0.651,-11.496,0.0404,0.136,0.82,0.124,0.682,105.043,1gTESDT8WAAbz8LDISCCiW,140237
37,0.738,0.537,-12.182,0.0433,0.0762,0.921,0.14,0.591,124.995,0q7FqePJDbsv2qe5F1Io5k,153931
38,0.781,0.492,-10.709,0.0435,0.169,0.942,0.106,0.566,122.003,4FFyEoXvegTx7JPBjH56Qf,143607
39,0.706,0.646,-8.977,0.0452,0.0526,0.898,0.0964,0.446,121.999,6NXFBa78gsGlDhqXxYbNaY,164262
40,0.753,0.515,-12.643,0.0611,0.104,0.767,0.11,0.607,122.024,3pOiM6wiPhDPYm9aEz2qgo,142771
