,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0,0.213,0.0656,-24.81,0.0467,0.992,0.969,0.0699,0.0384,65.023,3U8Fx7zNTQrctytkj6Gqgd,150147
1,0.33,0.00357,-33.142,0.0339,0.995,0.953,0.0989,0.121,100.741,6MzbO6YS0M6tjwT93hjAl0,216213
2,0.368,0.00363,-36.759,0.035,0.993,0.922,0.137,0.085,69.363,1L4NadMj3Jj7YgGaikyhfr,254000
3,0.32,0.00501,-33.366,0.0455,0.993,0.919,0.0618,0.0383,68.947,3hCPh4oVVjaM8tv9sFH8cx,294960
4,0.701,0.341,-12.26,0.0418,0.499,0.903,0.359,0.163,105.513,5xbuJuQsTVheVZvX2AJVIv,151507
5,0.355,0.0479,-28.017,0.0414,0.986,0.958,0.115,0.0538,98.698,5U87k9mIyu2sGQppcqV4Dw,307203
6,0.364,0.00799,-33.09,0.0395,0.978,0.894,0.109,0.0674,101.226,1eqyKmkcp7b2s1PU9fEZRS,216093
7,0.33,0.00274,-37.342,0.0617,0.992,0.908,0.0668,0.188,61.088,4tKmydUDl8OIeb7fioEsnl,143532
8,0.392,0.0536,-23.399,0.0571,0.995,0.867,0.0808,0.0417,71.286,6YDgMoJ8ssOuKjQ6jiz4Kk,234467
9,0.499,0.351,-11.509,0.0448,0.951,9.94e-05,0.118,0.616,90.664,28XMNc5If5BmJWYDU42gkw,235947
10,0.384,0.125,-22.4,0.0315,0.987,0.929,0.112,0.369,80.185,0vzSIBAqnN1HzvWrPbh6VF,120741
11,0.261,0.0149,-27.528,0.0419,0.992,0.897,0.102,0.0382,75.296,2d6ml9Qkx8r4EjuUyrdpRV,286987
12,0.116,0.0011,-39.982,0.0544,0.988,0.227,0.0991,0.0387,70.332,2ZrF3UfwS50CKE8jQQVjWj,255960
13,0.339,0.00572,-32.309,0.0378,0.986,0.923,0.103,0.0616,72.7,48i1p3R9l9f7zjcHPJysZZ,198650
14,0.238,0.0747,-24.201,0.0437,0.95,0.935,0.0978,0.126,117.686,0aDl3mGEr6eZcSwoJo91Np,271943
15,0.205,0.129,-18.197,0.0595,0.968,0.946,0.101,0.296,136.871,2gMCNoPiMjuVMmzQRlOXMV,170000
16,0.46,0.03,-22.209,0.0697,0.987,0.897,0.0975,0.0535,133.167,2vz6Zep5xyCIAZgIroYL1X,261309
17,0.461,0.0104,-31.073,0.0655,0.995,0.908,0.0895,0.106,71.494,1D5LT3ZUtwpXFpiv18M0R2,172107
18,0.417,0.0287,-25.066,0.0714,0.994,0.889,0.079,0.285,143.262,1rpF77jsLBMG2QjCuhe0Sr,264053
