,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0,0.101,0.111,-20.372,0.0405,0.826,0.897,0.107,0.124,174.226,0AvCP4oj9iV9tsx9V2G5jm,160267
1,0.442,0.181,-20.419,0.0443,0.906,0.656,0.0598,0.172,115.884,1IM8x4lxZVOOP9gpQD6c5s,432133
2,0.0847,0.0856,-24.716,0.0405,0.964,0.592,0.289,0.0764,84.245,1UvaZaHkh3D9AkmBrrnbFg,205493
3,0.192,0.0231,-28.434,0.0464,0.984,0.558,0.0776,0.04,70.368,66EQLGUGxCKXzuLj1Zkt1E,166133
4,0.143,0.232,-14.73,0.0509,0.963,0.0814,0.11,0.105,35.555,2hNhsPZVVOr0SOqShooaEJ,283747
5,0.199,0.0677,-20.879,0.039,0.786,0.738,0.225,0.145,78.866,2LiWNkeUOAeibGxJKxmjsD,307827
6,0.259,0.172,-17.061,0.038,0.726,0.901,0.108,0.148,76.361,363LVCWmC8oafSBJXsJgB7,537507
7,0.302,0.113,-23.112,0.05,0.973,0.16,0.122,0.114,101.106,5gMXd0U6mhIqZWLfkGil3X,816373
8,0.249,0.163,-15.638,0.0351,0.901,0.741,0.124,0.112,136.037,6nqHzwOdGIaX57U6VU6kMO,685000
9,0.247,0.207,-18.63,0.0399,0.858,0.0117,0.106,0.119,84.292,5KXGxTcH3tRMyudfdQs49N,208000
10,0.429,0.0959,-19.686,0.0501,0.963,0.00499,0.0895,0.262,147.609,1T86Jeg7YHkfDiVwECYqXv,177667
11,0.249,0.0374,-21.571,0.0409,0.954,0.721,0.0988,0.0598,128.364,1y23CYY9BwYf2V77rPZWOw,533373
12,0.269,0.0224,-30.204,0.0318,0.924,0.909,0.065,0.0892,104.721,4QTFU7BukoyDtyyemGPNCX,124120
13,0.272,0.346,-14.01,0.0317,0.926,0.931,0.0772,0.24,79.773,3By9jCy6b4dv5XnlhvIWwx,134747
14,0.358,0.167,-16.0,0.0354,0.899,0.96,0.103,0.601,144.561,2oLjhx7w8Hyd3gry9cCXr7,138707
15,0.283,0.119,-19.325,0.0447,0.988,0.428,0.086,0.0481,67.882,1Bsxs0QdiKaoGnllwvYLU2,250827
16,0.4,0.247,-18.249,0.0423,0.818,0.64,0.119,0.394,162.078,0ROMalDdNg3L2HoZP4qFyJ,201853
17,0.331,0.232,-17.72,0.0431,0.868,0.934,0.0973,0.0692,109.802,5K8BwPXLN7rdlYsPHFXrY3,555506
18,0.299,0.259,-17.679,0.0293,0.838,0.951,0.1,0.202,94.311,2f2egGUYIOUjcFG3EDFg2F,262000
19,0.442,0.216,-17.569,0.0555,0.926,0.944,0.144,0.574,118.779,5zhuWncJsBKrQ1HhmAKNAg,144733
20,0.371,0.138,-23.655,0.039,0.965,0.722,0.0505,0.0964,101.211,2xxaUPuAv3HKho4IP4p9Yn,906227
21,0.285,0.0993,-21.594,0.0441,0.942,0.71,0.0808,0.0462,111.881,4b8Bh2TixtrfsO49h16FP8,685000
